#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
68948;20/02/2026 20:35:36;IRP_MJ_WRITE;DOWN;;b6 32 8b 1c e1 8b 19 e4 74 ff e1 c0 1c e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 ;"¶2‹.á‹.ätÿáÀ.á‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹à";238;238;COM7;;
68949;20/02/2026 20:35:36;IRP_MJ_WRITE;UP;STATUS_SUCCESS;b6 32 8b 1c e1 8b 19 e4 74 ff e1 c0 1c e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 e1 8b e0 ;"¶2‹.á‹.ätÿáÀ.á‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹àá‹à";238;;COM7;;
68950;20/02/2026 20:35:36;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM7;;
68951;20/02/2026 20:35:36;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM7;;
68952;20/02/2026 20:35:36;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM7;;
68953;20/02/2026 20:35:36;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM7;;
68954;20/02/2026 20:35:36;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM7;;
68955;20/02/2026 20:35:36;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM7;;
68956;20/02/2026 20:35:36;IRP_MJ_WRITE;DOWN;;55 aa 5a f2 00 ;"UªZò.";5;5;COM7;;
68957;20/02/2026 20:35:36;IRP_MJ_WRITE;UP;STATUS_SUCCESS;55 aa 5a f2 00 ;"UªZò.";5;;COM7;;
