#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
61094;20/02/2026 19:13:47;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM7;;
61095;20/02/2026 19:13:47;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM7;;
61096;20/02/2026 19:13:47;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM7;;
61097;20/02/2026 19:13:47;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM7;;
61098;20/02/2026 19:13:47;IRP_MJ_WRITE;DOWN;;55 aa 5a f4 00 ;"U™ZÙ.";5;5;COM7;;
61099;20/02/2026 19:13:47;IRP_MJ_WRITE;UP;STATUS_SUCCESS;55 aa 5a f4 00 ;"U™ZÙ.";5;;COM7;;
61100;20/02/2026 19:13:47;IRP_MJ_WRITE;DOWN;;3d 38 9c cf d9 c6 e5 8d fc 46 a2 9c ca dc 39 06 8d b7 46 a2 f4 3c d9 ae 16 8d 94 b5 a2 f4 3c d9 ae 16 8d 94 b5 a2 f4 3c d9 ae 16 8d 94 b5 a2 f4 3c d9 ae 16 8d 94 b5 a2 f4 3c d9 ae 16 8d 9f a0 a2 f4 3c d9 a3 0e 8d 95 aa a2 ff 27 d9 a6 0f 8d 97 b6 dd 3a 15 9f 4d 05 cb 74 98 e4 14 11 37 28 0b 63 12 a8 7b 7c 27 a6 7e 3c 2c 3a 9b 03 5a 12 78 00 38 2c 3a 9b 03 5a 12 7b 01 38 29 3b 9b 9c e1 00 f8 97 75 86 f7 4d a3 9d ce d9 c6 e5 8d fc 46 a2 9c cf d9 c6 e5 8d fc 46 a2 9c cf d9 c6 e5 8d fc 46 a2 9c cf d9 c6 e5 8d fc 46 a2 9c cf d9 c6 e5 8d fc 46 b0 8e dd ff e0 c3 ae df 65 8f b1 e2 f3 ec cf a8 d9 63 87 b9 ea f4 83 dc 8d 6a f7 9c 18 00 68 7c 20 3d 47 80 12 26 0a 69 7c 20 3d 46 83 12 26 0a 69 7c 20 25 44 83 73 45 2d 30 2f 0c 64 15 af ;"=8úœŸ∆Âç¸F¢ú ‹9.ç∑F¢Ù<ŸÆ.çîµ¢Ù<ŸÆ.çîµ¢Ù<ŸÆ.çîµ¢Ù<ŸÆ.çîµ¢Ù<ŸÆ.çü†¢Ù<Ÿ£.çï™¢ˇ'Ÿ¶.çó∂›:.üM.Àtò‰..7(.c.®{|'¶~<,:õ.Z.x.8,:õ.Z.{.8);õú·.¯óuÜ˜M£ùŒŸ∆Âç¸F¢úœŸ∆Âç¸F¢úœŸ∆Âç¸F¢úœŸ∆Âç¸F¢úœŸ∆Âç¸F∞é›ˇ‡√Æﬂeè±‚ÛÏœ®ŸcáπÍÙÉ‹çj˜ú..h| =GÄ.&.i| =FÉ.&.i| %DÉsE-0/.d.Ø";244;244;COM7;;
61101;20/02/2026 19:13:47;IRP_MJ_WRITE;UP;STATUS_SUCCESS;3d 38 9c cf d9 c6 e5 8d fc 46 a2 9c ca dc 39 06 8d b7 46 a2 f4 3c d9 ae 16 8d 94 b5 a2 f4 3c d9 ae 16 8d 94 b5 a2 f4 3c d9 ae 16 8d 94 b5 a2 f4 3c d9 ae 16 8d 94 b5 a2 f4 3c d9 ae 16 8d 9f a0 a2 f4 3c d9 a3 0e 8d 95 aa a2 ff 27 d9 a6 0f 8d 97 b6 dd 3a 15 9f 4d 05 cb 74 98 e4 14 11 37 28 0b 63 12 a8 7b 7c 27 a6 7e 3c 2c 3a 9b 03 5a 12 78 00 38 2c 3a 9b 03 5a 12 7b 01 38 29 3b 9b 9c e1 00 f8 97 75 86 f7 4d a3 9d ce d9 c6 e5 8d fc 46 a2 9c cf d9 c6 e5 8d fc 46 a2 9c cf d9 c6 e5 8d fc 46 a2 9c cf d9 c6 e5 8d fc 46 a2 9c cf d9 c6 e5 8d fc 46 b0 8e dd ff e0 c3 ae df 65 8f b1 e2 f3 ec cf a8 d9 63 87 b9 ea f4 83 dc 8d 6a f7 9c 18 00 68 7c 20 3d 47 80 12 26 0a 69 7c 20 3d 46 83 12 26 0a 69 7c 20 25 44 83 73 45 2d 30 2f 0c 64 15 af ;"=8úœŸ∆Âç¸F¢ú ‹9.ç∑F¢Ù<ŸÆ.çîµ¢Ù<ŸÆ.çîµ¢Ù<ŸÆ.çîµ¢Ù<ŸÆ.çîµ¢Ù<ŸÆ.çü†¢Ù<Ÿ£.çï™¢ˇ'Ÿ¶.çó∂›:.üM.Àtò‰..7(.c.®{|'¶~<,:õ.Z.x.8,:õ.Z.{.8);õú·.¯óuÜ˜M£ùŒŸ∆Âç¸F¢úœŸ∆Âç¸F¢úœŸ∆Âç¸F¢úœŸ∆Âç¸F¢úœŸ∆Âç¸F∞é›ˇ‡√Æﬂeè±‚ÛÏœ®ŸcáπÍÙÉ‹çj˜ú..h| =GÄ.&.i| =FÉ.&.i| %DÉsE-0/.d.Ø";244;;COM7;;
61102;20/02/2026 19:13:47;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM7;;
61103;20/02/2026 19:13:47;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM7;;
61104;20/02/2026 19:13:47;IRP_MJ_WRITE;DOWN;;55 aa 5a f2 00 ;"U™ZÚ.";5;5;COM7;;
61105;20/02/2026 19:13:47;IRP_MJ_WRITE;UP;STATUS_SUCCESS;55 aa 5a f2 00 ;"U™ZÚ.";5;;COM7;;
61106;20/02/2026 19:13:47;IRP_MJ_WRITE;DOWN;;a4 36 85 c6 65 d4 d6 17 f2 85 c3 60 2b 35 17 b9 85 c6 0d 27 d6 7f 01 85 ae 96 d4 be e4 f2 ed 35 65 bc 25 17 9a 76 c6 0d 27 d6 7f 01 85 ae 96 d4 be e4 f2 ed 35 65 bc 25 17 9a 76 c6 06 32 d6 7f 01 85 a3 8e d4 bf fb f2 e6 2e 65 b4 3c 17 99 75 b9 c3 0e 90 9c 12 c3 4e bb 92 5e c9 1c 6b 28 8b 3a 38 ce 12 6d b9 dd 0d 77 d1 2f 24 00 b8 75 10 ca 53 43 1b c4 12 0b b5 35 58 62 a2 09 e8 6a 3d a4 97 f5 df dd 1c f3 84 c7 65 d4 d6 17 f2 85 c6 65 d4 d6 17 f2 85 c6 65 d4 d6 17 f2 85 c6 65 d4 d6 17 f2 85 c6 65 d4 d6 17 f2 85 c6 65 d4 d6 17 f2 85 c6 77 c6 c4 31 d4 a3 e5 46 f7 fb 3a df af ec 4f f1 f3 32 d7 a0 e3 48 91 ef 17 64 34 f8 e1 1b 67 ad 37 35 7d a3 64 6c d2 42 3f 03 d5 6e 13 a7 48 40 76 df 11 7e af 37 54 1f 87 3d 3f fe 1b 6c 2f ;"§6Ö∆e‘÷.ÚÖ√`+5.πÖ∆.'÷.ÖÆñ‘æ‰ÚÌ5eº%.öv∆.'÷.ÖÆñ‘æ‰ÚÌ5eº%.öv∆.2÷.Ö£é‘ø˚ÚÊ.e¥<.ôuπ√.êú.√Nªí^….k(ã:8Œ.mπ›.w—/$.∏u. SC.ƒ..µ5Xb¢.Ëj=§óıﬂ›.ÛÑ«e‘÷.ÚÖ∆e‘÷.ÚÖ∆e‘÷.ÚÖ∆e‘÷.ÚÖ∆e‘÷.ÚÖ∆e‘÷.ÚÖ∆w∆ƒ1‘£ÂF˜˚:ﬂØÏOÒÛ2◊†„HëÔ.d4¯·.g≠75}£dl“B?.’n.ßH@vﬂ.~Ø7T.á=?˛.l/";242;242;COM7;;
