#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
16127;25/02/2026 22:00:00;IRP_MJ_WRITE;DOWN;;dc 3b 68 4e dd ca a9 f5 94 e7 16 67 68 4b d8 35 4a f5 df e7 b9 a1 8f f3 08 3e 17 20 60 59 c3 93 d6 9b 29 74 7c 01 2a 32 e2 d9 bd ba 63 1f 5d 4b 41 13 a8 b2 9c f0 08 3e 17 20 60 59 c3 93 d1 83 3a 77 7d 07 2d 2a fe dc b8 a3 65 07 40 4d 58 01 ad b7 84 8b 73 77 68 4b 47 27 a8 b5 aa f9 15 77 67 2f 54 37 cd a7 b8 95 1d 1a 72 35 44 3c d6 b7 b3 8e 0d 11 69 25 4f 27 c6 bc a9 9f 06 08 78 29 38 5b c4 0b 13 de d6 c0 a3 f4 94 e7 16 67 68 4e dd ca a9 f5 94 e7 16 67 68 4e dd ca a9 f5 94 e7 16 67 68 4e dd ca a9 f5 94 e7 16 67 68 4e dd ca a9 f5 94 e7 16 67 7a 5f cc ec 8c d0 b7 c5 34 4a 44 62 f7 e3 80 d0 b0 c3 33 43 4c 7e 98 f1 2f 5f 25 4d ad a8 dd f2 18 7c 14 33 20 5b d3 d3 d4 8b 69 76 6c 41 28 22 a2 db ad fa 61 0f 1d 49 51 53 aa a2 db f2 1b ;"‹;hN› ©ıîÁ.ghKÿ5JıﬂÁπ°èÛ.>. `Y√ì÷õ)t|.*2‚ŸΩ∫c.]KA.®≤ú.>. `Y√ì—É:w}.-*˛‹∏£e.@MX.≠∑ÑãswhKG'®µ™˘.wg/T7Õß∏ï..r5D<÷∑≥é..i%O'∆º©ü..x)8[ƒ..ﬁ÷¿£ÙîÁ.ghN› ©ıîÁ.ghN› ©ıîÁ.ghN› ©ıîÁ.ghN› ©ıîÁ.gz_ÃÏå–∑≈4JDb˜„Ä–∞√3CL~òÒ/_%M≠®›Ú.|.3 [””‘ãivlA(""¢€≠˙a..IQS™¢€Ú.";245;245;COM7;;
16128;25/02/2026 22:00:00;IRP_MJ_WRITE;UP;STATUS_SUCCESS;dc 3b 68 4e dd ca a9 f5 94 e7 16 67 68 4b d8 35 4a f5 df e7 b9 a1 8f f3 08 3e 17 20 60 59 c3 93 d6 9b 29 74 7c 01 2a 32 e2 d9 bd ba 63 1f 5d 4b 41 13 a8 b2 9c f0 08 3e 17 20 60 59 c3 93 d1 83 3a 77 7d 07 2d 2a fe dc b8 a3 65 07 40 4d 58 01 ad b7 84 8b 73 77 68 4b 47 27 a8 b5 aa f9 15 77 67 2f 54 37 cd a7 b8 95 1d 1a 72 35 44 3c d6 b7 b3 8e 0d 11 69 25 4f 27 c6 bc a9 9f 06 08 78 29 38 5b c4 0b 13 de d6 c0 a3 f4 94 e7 16 67 68 4e dd ca a9 f5 94 e7 16 67 68 4e dd ca a9 f5 94 e7 16 67 68 4e dd ca a9 f5 94 e7 16 67 68 4e dd ca a9 f5 94 e7 16 67 7a 5f cc ec 8c d0 b7 c5 34 4a 44 62 f7 e3 80 d0 b0 c3 33 43 4c 7e 98 f1 2f 5f 25 4d ad a8 dd f2 18 7c 14 33 20 5b d3 d3 d4 8b 69 76 6c 41 28 22 a2 db ad fa 61 0f 1d 49 51 53 aa a2 db f2 1b ;"‹;hN› ©ıîÁ.ghKÿ5JıﬂÁπ°èÛ.>. `Y√ì÷õ)t|.*2‚ŸΩ∫c.]KA.®≤ú.>. `Y√ì—É:w}.-*˛‹∏£e.@MX.≠∑ÑãswhKG'®µ™˘.wg/T7Õß∏ï..r5D<÷∑≥é..i%O'∆º©ü..x)8[ƒ..ﬁ÷¿£ÙîÁ.ghN› ©ıîÁ.ghN› ©ıîÁ.ghN› ©ıîÁ.ghN› ©ıîÁ.gz_ÃÏå–∑≈4JDb˜„Ä–∞√3CL~òÒ/_%M≠®›Ú.|.3 [””‘ãivlA(""¢€≠˙a..IQS™¢€Ú.";245;;COM7;;
16129;25/02/2026 22:00:00;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM7;;
16130;25/02/2026 22:00:00;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM7;;
16131;25/02/2026 22:00:00;IRP_MJ_WRITE;DOWN;;55 aa 5a f3 00 ;"U™ZÛ.";5;5;COM7;;
16132;25/02/2026 22:00:00;IRP_MJ_WRITE;UP;STATUS_SUCCESS;55 aa 5a f3 00 ;"U™ZÛ.";5;;COM7;;
16133;25/02/2026 22:00:00;IRP_MJ_WRITE;DOWN;;de 39 7b 6f 8a a5 e6 d5 56 b3 7b 6a 8f 5a 05 d5 1d b3 d4 a9 6d 18 33 21 e8 66 8f d1 5f 51 58 00 a2 0d ae 9b 34 70 12 6b 83 47 c5 ba 7e 1b 33 21 e8 66 8f d1 5f 51 58 00 a2 0d ae 9b 32 68 01 68 82 41 c2 a2 62 1e 36 38 ee 7e 93 d7 46 43 5d 05 ba 76 d5 d2 4b 1b 35 15 e8 61 b9 d8 42 18 28 0f 96 63 a0 af 5a 7e 26 05 8d 73 ab b4 4a 75 3d 15 86 68 bb bf 51 65 36 0e 97 62 a0 ad 5b 79 4a 69 84 df 00 ff 81 af ec d4 56 b3 7b 6f 8a a5 e6 d5 56 b3 7b 6f 8a a5 e6 d5 56 b3 7b 6f 8a a5 e6 d5 56 b3 7b 6f 8a a5 e6 d5 56 b3 7b 6f 8a a5 e6 d5 56 b3 7b 6f 98 b4 f7 f3 73 96 58 4d a8 88 ca f9 7c 9a 52 4a ae 81 c3 f1 72 83 3e 54 0c 0f 57 7f ed 7c ce d3 4f 13 5b 13 e2 0f be db 36 60 52 69 93 07 c7 aa 3e 19 23 61 ea 76 cf d3 4f 11 5a 10 e5 0f bd ;"ﬁ9{oä•Ê’V≥{jèZ.’.≥‘©m.3!Ëfè—_QX.¢.Æõ4p.kÉG≈∫~.3!Ëfè—_QX.¢.Æõ2h.hÇA¬¢b.68Ó~ì◊FC].∫v’“K.5.ËaπÿB.(.ñc†ØZ~&.çs´¥Ju=.ÜhªøQe6.ób†≠[yJiÑﬂ.ˇÅØÏ‘V≥{oä•Ê’V≥{oä•Ê’V≥{oä•Ê’V≥{oä•Ê’V≥{oä•Ê’V≥{oò¥˜ÛsñXM®à ˘|öRJÆÅ√ÒrÉ>T..WÌ|Œ”O.[.‚.æ€6`Riì.«™>.#aÍvœ”O.Z.Â.Ω";243;243;COM7;;
16134;25/02/2026 22:00:00;IRP_MJ_WRITE;UP;STATUS_SUCCESS;de 39 7b 6f 8a a5 e6 d5 56 b3 7b 6a 8f 5a 05 d5 1d b3 d4 a9 6d 18 33 21 e8 66 8f d1 5f 51 58 00 a2 0d ae 9b 34 70 12 6b 83 47 c5 ba 7e 1b 33 21 e8 66 8f d1 5f 51 58 00 a2 0d ae 9b 32 68 01 68 82 41 c2 a2 62 1e 36 38 ee 7e 93 d7 46 43 5d 05 ba 76 d5 d2 4b 1b 35 15 e8 61 b9 d8 42 18 28 0f 96 63 a0 af 5a 7e 26 05 8d 73 ab b4 4a 75 3d 15 86 68 bb bf 51 65 36 0e 97 62 a0 ad 5b 79 4a 69 84 df 00 ff 81 af ec d4 56 b3 7b 6f 8a a5 e6 d5 56 b3 7b 6f 8a a5 e6 d5 56 b3 7b 6f 8a a5 e6 d5 56 b3 7b 6f 8a a5 e6 d5 56 b3 7b 6f 8a a5 e6 d5 56 b3 7b 6f 98 b4 f7 f3 73 96 58 4d a8 88 ca f9 7c 9a 52 4a ae 81 c3 f1 72 83 3e 54 0c 0f 57 7f ed 7c ce d3 4f 13 5b 13 e2 0f be db 36 60 52 69 93 07 c7 aa 3e 19 23 61 ea 76 cf d3 4f 11 5a 10 e5 0f bd ;"ﬁ9{oä•Ê’V≥{jèZ.’.≥‘©m.3!Ëfè—_QX.¢.Æõ4p.kÉG≈∫~.3!Ëfè—_QX.¢.Æõ2h.hÇA¬¢b.68Ó~ì◊FC].∫v’“K.5.ËaπÿB.(.ñc†ØZ~&.çs´¥Ju=.ÜhªøQe6.ób†≠[yJiÑﬂ.ˇÅØÏ‘V≥{oä•Ê’V≥{oä•Ê’V≥{oä•Ê’V≥{oä•Ê’V≥{oä•Ê’V≥{oò¥˜ÛsñXM®à ˘|öRJÆÅ√ÒrÉ>T..WÌ|Œ”O.[.‚.æ€6`Riì.«™>.#aÍvœ”O.Z.Â.Ω";243;;COM7;;
16135;25/02/2026 22:00:00;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM7;;
16136;25/02/2026 22:00:00;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM7;;
